id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
qLWlKMmN,True,1502852588558.0,1502853005723.0,69,outoftime,white,15+5,decearing_egg,1658,eru_roraito,1689,e4 e5 Nf3 Nc6 Bb5 d5 Nxe5 Be6 Nxc6 bxc6 Bxc6+ Bd7 Bxa8 Qxa8 exd5 Qxd5 O-O Bh3 gxh3 Nf6 Nc3 Qd8 d4 Bd6 Bg5 Qd7 Re1+ Be7 Bxf6 gxf6 Ne4 Qb5 Nxf6+ Kf8 c4 Qg5+ Ng4 f5 Rxe7 Qxe7 Ne5 c6 Qa4 Rg8+ Kf1 c5 Re1 f4 Nd7+ Ke8 Rxe7+ Kxe7 dxc5 f3 c6 Kd6 c5+ Kc7 Qxa7+ Kxc6 Ne5+ Kb5 c6 Re8 Nxf3 Re1+ Kxe1 Kb4 a3+,C60,Ruy Lopez: Spanish Countergambit,6
oc6jkMPe,True,1504324802576.0,1504325919246.0,109,outoftime,white,10+0,lionnessebim1,1924,duelistone,1998,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3 bxc3 Bg7 Nf3 c5 Bc4 O-O O-O Nc6 Bb2 Bg4 Be2 Bxf3 Bxf3 cxd4 cxd4 Nxd4 Bxd4 Qxd4 Rb1 Rab8 Qb3 Qc3 Qb5 Rfc8 Qd7 Rc7 Qa4 b6 h3 Be5 Qb5 a6 Qxa6 Bd4 Qb5 Qc5 Qb3 Be5 Rbd1 e6 Kh1 b5 g3 b4 Rc1 Bc3 a3 Rbc8 axb4 Qxb4 Qd1 e5 Qd5 Qc5 Qd3 Qd4 Qxd4 exd4 Bg4 Rb8 Kg2 Rb2 Rcd1 Rd2 Kf3 d3 Ke3 Rxd1 Rxd1 d2 Ke2 Ba5 f3 Rc1 f4 Kf8 Kd3 Rxd1 Bxd1 Ke7 Kd4 Kd6 e5+ Ke6 Ke4 Kd7 g4 Kc6 f5 gxf5+ gxf5 Kc5 h4 Kc4 e6 fxe6 fxe6 Bb4 h5,D85,Gruenfeld Defense: Exchange Variation |  Modern Exchange Variation,13
U3juggOh,True,1502747357272.0,1502748543847.0,152,outoftime,black,10+0,rotella55,1646,lahayejose012,1679,c4 c5 Nc3 Nc6 e4 e5 Nf3 g6 a3 Bg7 Bd3 Nf6 h3 O-O O-O a5 Nb5 d6 Re1 Re8 Bc2 Nh5 d3 Nf4 Nc3 Bxh3 Bxf4 Bxg2 Kxg2 exf4 Nd5 Bxb2 Ra2 Bd4 Rh1 Ne5 Ba4 Rf8 Nxf4 Nxf3 Qxf3 Qg5+ Kf1 Qd8 Ke2 Qb6 Bb5 a4 Nd5 Qd8 Nf6+ Qxf6 Qxf6 Bxf6 Kf3 Be5 Ke3 f5 Bd7 fxe4 Be6+ Kh8 Bg4 exd3 Kxd3 Rf4 f3 Rd4+ Ke3 Bf4+ Ke2 Re8+ Kf1 Rd1+ Kg2 Rd2+ Rxd2 Bxd2 Bd7 Re2+ Kg3 Be1+ Kf4 Bd2+ Kg3 Re3 Bc6 b6 Rd1 Ba5 Rxd6 Rxa3 Rd8+ Kg7 Rd5 Rc3 Bb5 a3 Rd1 a2 Ra1 Ra3 Rd1 a1=Q Rxa1 Rxa1 Kg4 h5+ Kf4 Rg1 Bd7 g5+ Kf5 g4 fxg4 hxg4 Kg5 g3 Bh3 Re1 Kg4 Re3 Bg2 Be1 Kf4 Rc3 Bd5 g2 Bxg2 Rxc4+ Ke5 Bc3+ Kd6 b5 Bd5 Rd4 Kxc5 Ba1 Ba2 b4 Bb3 Bc3 Kc6 Rd8 Kc7 Rf8 Kd7 Rf3 Kc6 Rg3 Kd5 Rh3,A35,English Opening: Symmetrical Variation |  Two Knights Variation,4
xDSHgiOy,True,1501970707619.0,1501971806156.0,120,outoftime,black,10+0,kraka,1550,lahayejose012,1685,e4 e6 Nf3 d5 e5 c5 d4 Bd7 c3 Nc6 Be3 cxd4 cxd4 Bb4+ Bd2 Qb6 Bxb4 Qxb4+ Qd2 Qb6 b3 Nge7 a4 a5 Bb5 O-O O-O Nf5 Rd1 Rfd8 Na3 Nb4 Bxd7 Rxd7 Nb5 h6 h3 Rc8 g4 Rc2 Qf4 Ne7 Nd6 Ng6 Qe3 Rxd6 exd6 Qxd6 Ne5 Nxe5 dxe5 Qe7 Rd4 Rb2 Qc3 Rc2 Qg3 Rc8 f4 Nc2 Rc1 Qc5 Qf2 Qb6 Rd2 Qxf2+ Kxf2 Rc3 Rcxc2 Rxh3 Rb2 Kf8 Kg2 Rc3 f5 Ke7 Rdc2 Rc6 Kf3 g5 fxg6 fxg6 Kf4 g5+ Kf3 Rb6 Rh2 d4 Rxh6 Rb4 Rg6 d3 Rxg5 Rd4 Ke3 Rd8 Rg7+ Kf8 Rxb7 Kg8 Rc2 dxc2 Rc7 c1=B+ Rxc1 Kg7 Rc6 Kf7 Ke4 Rd5 g5 Rd8 Ra6 Rd5 g6+ Kxg6 Rxe6+ Kf7 Kxd5 Kg7,C02,French Defense: Advance Variation |  Euwe Variation,10
LVwdlyjK,True,1495272811822.0,1495273979785.0,81,outoftime,white,10+0,terco666_9,1569,charzi,1564,Nc3 e5 e4 Nc6 Bb5 Nd4 Bc4 Nf6 d3 b6 Bg5 Be7 Nd5 Bb7 Nxe7 Qxe7 c3 Ne6 Bxe6 Qxe6 Bxf6 Qxf6 Nf3 O-O Qb3 Rad8 Qc4 Bc6 a4 d5 exd5 Bxd5 Qxc7 Bxf3 gxf3 Rxd3 Qxa7 Qxf3 O-O Rd6 Rfe1 Rg6+ Kf1 Qd3+ Re2 Qh3+ Ke1 Rg1+ Kd2 Rd8+ Kc2 Qf5+ Kb3 Rxa1 Qxb6 Qe6+ Qxe6 fxe6 Rxe5 Kf7 f4 Rb8+ Rb5 Rxb5+ axb5 Ra7 Kb4 Ke7 Kc5 Rc7+ Kb4 Kd6 b3 Rb7 c4 Kc7 Kc5 h6 b4 g5 fxg5,C25,Vienna Game: Max Lange Defense,4
c21oXFkr,True,1495180188076.0,1495181148899.0,61,outoftime,white,10+0,narendar,1731,charzi,1566,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 d5 exd5 Nxd5 Ng5 Be7 Nxf7 Kxf7 Qf3+ Bf6 Bxd5+ Be6 Bxc6 bxc6 Qxc6 Re8 O-O Kg8 Nc3 Bd7 Qc4+ Be6 Qe4 Rb8 Qf3 Qd4 Be3 Qg4 Qc6 Rxb2 Ne4 Rbb8 Qxc7 Qe2 Nxf6+ gxf6 Bh6 Qg4 Qxa7 Bd5 f3 Qg6 Be3 Rb2 Qc5 Bxa2 Qa3 Rxc2 Rxa2 Rxa2 Qxa2+ Kh8 Qa4 Qxd3 Qxe8+,C55,Italian Game: Two Knights Defense |  Modern Bishop's Opening,7
pK112Mix,True,1495127505301.0,1495128249364.0,51,outoftime,white,10+0,rapsus,1697,charzi,1558,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 d4 Be7 Nxf7 Kxf7 dxe5 Be6 O-O Nxe5 Qh5+ Ng6 f3 Bc5+ Kh1 Qe7 Bxd5 Bxd5 Qxd5+ Ke8 Bg5 Rd8 Qxd8+ Qxd8 Bxd8 Kxd8 Nc3 Re8 Rad1+ Kc8 Rfe1 Rf8 Ne4 Bb6 c4 Rf5 b4 c6 Nd6+ Kb8 Nxf5 Bc7 Re8+,C57,Italian Game: Two Knights Defense |  Lolli Attack,11
IgvACiNk,True,1493736383328.0,1493737501713.0,78,outoftime,black,10+0,charzi,1580,madhusudanverma,1799,d4 d5 c4 e6 a3 Nf6 Nc3 Bd6 cxd5 exd5 e3 O-O Nf3 Bg4 Be2 Nbd7 O-O Bxf3 Bxf3 c6 b4 Qc7 Qc2 Bxh2+ Kh1 Bd6 Re1 Rae8 Bb2 h5 e4 dxe4 Nxe4 Nxe4 Bxe4 Nf6 d5 Nxe4 Rxe4 cxd5 Qxc7 Bxc7 Rxe8 Rxe8 Bd4 Re4 Bxa7 b6 Rd1 d4 f3 Re7 Rxd4 Bg3 Rd8+ Kh7 Bxb6 Re1+ Bg1 Bf2 Rd5 g6 Rd7 Kg7 Rd2 Bxg1 b5 Be3+ Kh2 Bxd2 b6 Rb1 g4 h4 b7 Rxb7 Kh3 g5,D30,Queen's Gambit Declined,4
c7hKdKLX,False,1501831365751.0,1501832206963.0,24,outoftime,black,30+0,engalican,1500,aftandil,1500,e4 c5 Nf3 a6 Nc3 b5 a4 b4 Nd5 e6 Nf4 Bb7 Qe2 d6 d4 cxd4 Nxd4 e5 Qh5 Nf6 Qf5 Bxe4 Qh3 exd4,B28,Sicilian Defense: O'Kelly Variation |  Yerevan System,5
IHrgf3s9,False,1489352794515.0,1489355087872.0,32,outoftime,black,15+15,ianremsen,1621,abaraba,1903,e4 e5 Nf3 d5 exd5 e4 Qe2 Nf6 Nc3 Be7 Nxe4 O-O d3 Nxd5 g3 Nc6 Bg2 Bg4 O-O Nd4 Qd1 Qd7 c3 Nc6 Qb3 Nb6 d4 Rfe8 Bg5 Be6 Qc2 f5,C40,Elephant Gambit: Paulsen Countergambit,6
